Words,Words_Count
the,226
of,150
and,140
in,100
genetic,58
distance,51
to,47
between,47
geographic,47
viruses,44
vietnam,37
for,36
that,34
is,33
by,30
influenza,26
gene,26
distances,24
year,23
at,23
are,23
mantel,21
all,19
this,19
was,18
matrices,17
evolution,17
case,16
we,16
from,15
as,15
pairs,15
were,15
across,14
these,14
genes,14
cases,13
have,13
results,13
southern,13
than,13
northern,13
with,13
observations,12
anova,12
poultry,12
each,11
also,11
within,11
dataset,11
significant,11
viral,11
virus,10
tests,10
spatial,10
space,10
region,10
eight,10
while,10
analysis,10
avian,10
south,9
on,9
using,9
scale,9
temporal,9
among,9
geogdist,9
time,9
but,8
north,8
distribution,8
domestic,8
mrm,8
us,8
matrix,8
which,8
into,8
intercept,8
spread,8
or,8
there,7
isolation,7
hpaivs,7
one,7
relationship,7
segments,7
correlograms,7
more,7
test,6
our,6
highly,6
isolated,6
effect,6
correlation,6
has,6
significance,6
ha,6
years,6
statistical,6
when,6
central,6
about,6
not,6
incidence,6
regions,6
different,6
higher,5
relationships,5
lag,5
indicates,5
controlling,5
indicate,5
regional,5
low,5
country,5
first,5
since,5
data,5
however,5
hubs,5
location,5
human,5
greater,5
whether,5
city,5
variable,5
used,5
both,5
an,5
versus,5
pathogenic,5
be,5
pattern,5
china,5
province,5
patterns,5
provinces,5
less,4
findings,4
vietnamese,4
points,4
some,4
population,4
differences,4
other,4
differentiation,4
same,4
dissimilarity,4
around,4
km,4
observed,4
relative,4
statistically,4
potential,4
relatively,4
because,4
study,4
studies,4
strong,4
dependence,4
occurred,4
similar,4
those,4
place,4
then,4
correlations,4
phylogenetic,4
though,4
minh,4
thus,4
multiple,4
hanoi,4
pair,4
clustering,4
chi,4
two,4
ho,4
show,4
how,4
generated,4
evolve,3
pandemic,3
positive,3
statistic,3
others,3
autocorrelation,3
indicated,3
response,3
had,3
interaction,3
interactions,3
been,3
geographically,3
expected,3
only,3
assess,3
analyses,3
history,3
outbreaks,3
somewhat,3
another,3
over,3
few,3
humans,3
id,3
sequences,3
further,3
overcome,3
segment,3
aivs,3
approximately,3
where,3
order,3
explanatory,3
small,3
high,3
populations,3
reported,3
their,3
emerged,3
suggest,3
large,3
rather,3
distinct,3
regressions,3
least,3
true,3
they,3
variation,3
na,3
molecular,3
it,3
isolates,3
lags,3
effects,3
either,3
length,3
took,3
unique,3
during,3
due,3
little,3
line,3
moved,2
mutation,2
primarily,2
local,2
reassortment,2
long,2
shown,2
hpaiv,2
paired,2
pa,2
highest,2
look,2
mortality,2
linked,2
shed,2
probability,2
probably,2
rates,2
makes,2
patristic,2
problematic,2
map,2
middle,2
raised,2
reassortments,2
several,2
lineages,2
individual,2
numbers,2
independence,2
known,2
kilometers,2
precise,2
occurs,2
river,2
nature,2
revealed,2
information,2
introductions,2
introduction,2
question,2
possibility,2
sample,2
sampling,2
scales,2
scatterplots,2
number,2
predictor,2
np,2
seen,2
related,2
led,2
importance,2
no,2
interesting,2
present,2
light,2
previous,2
nearly,2
measured,2
zero,2
period,2
assigned,2
difference,2
centroid,2
centers,2
surrounding,2
upon,2
caused,2
can,2
values,2
calculated,2
varies,2
birds,2
bird,2
east,2
coded,2
structure,2
below,2
belong,2
ends,2
entire,2
based,2
august,2
stratified,2
strains,2
did,2
changes,2
characterize,2
culled,2
compared,2
concern,2
clusters,2
conclusions,2
consists,2
through,2
cluster,2
three,2
could,2
close,2
testing,2
determine,2
tree,2
tested,2
degree,2
delta,2
densities,2
clade,2
underlying,2
derived,2
described,2
ci,2
assigning,2
emergence,2
ways,2
explicitly,2
although,2
factors,2
fall,2
wild,2
after,2
software,2
so,2
single,2
gendist,2
simultaneously,2
generate,2
account,2
genotype,2
geography,2
gradually,2
above,2
great,2
explore,2
allowed,2
specific,2
exist,2
existed,2
evolved,2
evolutionary,2
appropriate,2
exhibit,2
exists,2
statistics,2
pigs,1
you,1
trends,1
phylogeographic,1
possible,1
yet,1
would,1
variance,1
transmitted,1
permutation,1
what,1
yunnan,1
transmissions,1
process,1
producing,1
z,1
visual,1
vs,1
progenitor,1
proven,1
probabilistic,1
prior,1
vary,1
prevent,1
precursor,1
who,1
predictors,1
wide,1
preferable,1
value,1
potentially,1
point,1
widespread,1
wherein,1
plotted,1
unknown,1
plot,1
previously,1
unit,1
well,1
will,1
very,1
words,1
uniformly,1
underwent,1
work,1
primary,1
understanding,1
provides,1
shows,1
transmission,1
still,1
spanned,1
see,1
specifically,1
spurious,1
squares,1
roles,1
step,1
revealing,1
reveal,1
toward,1
stratify,1
strength,1
residuals,1
strict,1
strongly,1
representing,1
repeated,1
subsequently,1
southward,1
separately,1
sequence,1
southeast,1
shuffled,1
short,1
shuffling,1
significantly,1
shared,1
similarity,1
severity,1
sites,1
six,1
size,1
solely,1
sorted,1
sought,1
source,1
people,1
settings,1
sequential,1
rendered,1
subset,1
subtypes,1
taking,1
tell,1
reflects,1
referred,1
temporality,1
red,1
recently,1
showing,1
reassortants,1
theory,1
rate,1
threshold,1
rapidly,1
randomly,1
random,1
times,1
r,1
quite,1
taxa,1
regionally,1
such,1
takes,1
suggested,1
suggests,1
sum,1
summary,1
sumsquare,1
supply,1
support,1
supporting,1
supposition,1
surface,1
suspect,1
sweeping,1
regression,1
regressed,1
systematically,1
systems,1
table,1
tended,1
able,1
pdf,1
designation,1
decision,1
degrees,1
demonstrate,1
dependent,1
descendant,1
descriptive,1
detected,1
path,1
df,1
diagnostics,1
died,1
differ,1
differential,1
diminished,1
decade,1
deaths,1
datapoints,1
database,1
curvature,1
current,1
creation,1
created,1
countries,1
correspondingly,1
corresponded,1
correlogram,1
correlative,1
correlating,1
correlated,1
coordinates,1
context,1
discussion,1
display,1
distant,1
emerging,1
exhibited,1
evolving,1
evolves,1
events,1
even,1
europe,1
establishment,1
established,1
essential,1
epidemics,1
epidemic,1
environmental,1
end,1
enabled,1
emerges,1
distributional,1
ecosystems,1
economic,1
easily,1
early,1
driving,1
drivers,1
driven,1
dramatic,1
domesticated,1
does,1
dividing,1
divided,1
diversity,1
distributions,1
constructed,1
conducted,1
conclude,1
analyzed,1
attached,1
assumption,1
assign,1
asia,1
ascending,1
arranged,1
areas,1
area,1
arcgis,1
arbitrary,1
appeared,1
apart,1
animals,1
ancestral,1
along,1
basis,1
allows,1
allowing,1
allow,1
agricultural,1
aggregated,1
africa,1
affected,1
affect,1
additionally,1
acting,1
acknowledging,1
accurately,1
according,1
abundant,1
available,1
before,1
complement,1
change,1
comparing,1
combinations,1
coefficient,1
clustered,1
closely,1
classical,1
classic,1
clarify,1
clades,1
circumvented,1
circle,1
chose,1
characterized,1
characteristic,1
certain,1
believe,1
centered,1
causing,1
categories,1
carried,1
cannot,1
calculating,1
built,1
branch,1
boxplots,1
boxplot,1
border,1
binary,1
bias,1
beyond,1
exhibiting,1
expanded,1
expect,1
longitude,1
mexico,1
methods,1
met,1
mekong,1
measuring,1
measure,1
meansquare,1
mb,1
maximum,1
materials,1
masked,1
marked,1
major,1
main,1
locations,1
millions,1
located,1
listing,1
list,1
links,1
link,1
likeness,1
likely,1
likelihood,1
levels,1
lethal,1
leading,1
latitude,1
later,1
larger,1
migration,1
mixing,1
lack,1
obtained,1
past,1
passing,1
particularly,1
pandemics,1
pakistan,1
overall,1
out,1
original,1
ordering,1
onto,1
ongoing,1
occurring,1
occurrence,1
occur,1
observe,1
model,1
observation,1
null,1
nucleotide,1
ns,1
novel,1
nine,1
neighboring,1
negative,1
need,1
narrow,1
much,1
moves,1
most,1
models,1
landscape,1
isolate,1
explanation,1
four,1
ground,1
greatly,1
graphical,1
gradual,1
gis,1
genotypes,1
genomic,1
genetics,1
genetically,1
general,1
function,1
frequently,1
frequent,1
frequency,1
found,1
guangxi,1
formed,1
form,1
follows,1
follow,1
five,1
fit,1
fed,1
fatalities,1
family,1
false,1
facilitating,1
extreme,1
extracted,1
extends,1
guangdong,1
half,1
investigation,1
increase,1
investigate,1
introduced,1
intervening,1
interpretation,1
interacted,1
interact,1
insignificant,1
initial,1
influence,1
infection,1
indonesia,1
individually,1
indication,1
increased,1
inclusion,1
helps,1
including,1
included,1
incidences,1
improve,1
imported,1
important,1
implemented,1
illustrate,1
identified,1
identification,1
identical,1
hypothesis,1
hinterland,1
heterogeneity,1
lends,1
