Words,Words_Count
the,441
of,300
and,242
to,167
in,163
for,153
genes,143
eqtl,116
with,109
were,102
that,91
resistance,68
as,63
by,55
at,53
transcript,51
we,51
was,50
on,50
analysis,49
abundance,48
is,43
pqtl,41
from,41
this,40
between,38
gene,37
be,37
or,35
these,34
rust,31
protein,31
lines,31
barley,29
are,29
each,28
no,25
using,25
an,24
not,24
located,23
expressed,23
partial,22
genetic,22
used,22
have,21
cm,21
their,21
regions,21
st,20
identified,20
leaf,20
probes,19
markers,19
population,19
significant,19
expression,18
been,18
parental,18
same,18
microarray,18
mx,17
previously,17
corresponding,17
observed,16
array,16
data,16
response,16
two,16
number,16
variation,15
different,15
agilent,15
one,15
may,15
differentially,15
both,15
causal,14
lod,14
had,14
would,14
total,14
three,14
after,14
hordei,14
found,13
pathogen,13
pairs,13
hpi,13
rna,13
biological,13
hotspots,13
et,13
four,13
rice,13
which,13
µl,13
it,13
al,13
into,13
therefore,13
snp,12
correlation,12
across,12
development,12
respectively,12
chr,12
performed,12
samples,12
significantly,12
within,12
min,12
marker,12
identify,12
pair,11
only,11
experiment,11
levels,11
also,11
all,11
most,11
genome,11
detected,11
showed,10
high,10
mm,10
model,10
candidate,10
location,10
further,10
many,10
revealed,10
ratios,10
distant,10
then,10
design,10
inoculation,10
compared,9
mb,9
buffer,9
phenotypic,9
has,9
leaves,9
scores,9
represent,9
however,9
enrichment,9
studies,9
trait,9
defense,9
tissue,9
p,8
go,8
map,8
mapped,8
can,8
mock,8
shown,8
represented,8
regulation,8
containing,8
information,8
other,8
over,8
table,8
while,8
being,8
if,8
involved,8
functional,7
ontology,7
control,7
controls,7
prior,7
tdms,7
study,7
correlations,7
fold,7
differential,7
dh,7
such,7
similar,7
comparisons,7
first,7
during,7
five,7
but,7
plant,7
hotspot,7
infection,7
mapping,7
sampling,7
based,7
kinase,6
six,6
puccinia,6
out,6
seedlings,6
differences,6
associated,6
identification,6
common,6
polymorphisms,6
disease,6
hybridisation,6
correlated,6
positional,6
time,6
transcripts,6
ratio,6
hits,6
allele,6
hours,6
should,6
function,6
set,6
categories,6
informative,6
than,6
cdna,6
cis,6
locus,6
cell,6
added,6
underlying,6
affymetrix,6
formation,6
more,6
parents,6
description,6
approach,5
suggests,5
process,5
dye,5
indicated,5
result,5
tissues,5
probe,5
general,5
interaction,5
developed,5
region,5
regression,5
loci,5
physical,5
they,5
allowed,5
replicates,5
weight,5
reported,5
threshold,5
synteny,5
could,5
phenotype,5
investigation,5
known,5
average,5
qtl,5
haustoria,5
homologues,5
overall,5
molecular,5
solution,5
snps,5
single,5
density,5
steptoe,5
candidates,5
morex,5
graminis,5
chromosome,5
given,5
significance,5
us,5
derived,5
transcription,5
considered,5
position,5
conserved,5
quantitative,5
per,5
either,5
temperature,4
fungal,4
likely,4
following,4
linked,4
formed,4
regulated,4
sample,4
described,4
marcel,4
increased,4
infected,4
followed,4
shows,4
sequence,4
incubated,4
selected,4
least,4
interactions,4
highest,4
stage,4
score,4
exhibit,4
stored,4
responses,4
network,4
directly,4
reaction,4
due,4
responsible,4
efficiency,4
seedling,4
labeled,4
haustorium,4
slide,4
measured,4
including,4
effect,4
corresponds,4
our,4
aquaporin,4
outside,4
against,4
circle,4
wall,4
comparison,4
criteria,4
arrays,4
water,4
up,4
cells,4
custom,4
under,4
treatment,4
wash,4
where,4
when,4
datasets,4
optimal,4
calculated,4
phenotypes,4
use,4
association,4
potentially,4
rather,3
none,3
resistant,3
statistical,3
stem,3
mg,3
washed,3
examined,3
transcriptional,3
conditions,3
example,3
enriched,3
intervals,3
proposed,3
functions,3
value,3
basis,3
promising,3
analyzed,3
entire,3
strategy,3
changes,3
represents,3
annotation,3
pairing,3
residuals,3
penetration,3
stoma,3
strongly,3
investigate,3
appropriate,3
signal,3
powdery,3
provide,3
classified,3
provides,3
family,3
so,3
fe,3
feature,3
vice,3
room,3
small,3
incorporation,3
mildew,3
slides,3
close,3
trays,3
tray,3
named,3
microscopic,3
individual,3
paired,3
individuals,3
spores,3
chosen,3
responsive,3
complex,3
progeny,3
next,3
inoculated,3
chromosomes,3
species,3
networks,3
sp,3
microarrays,3
extra,3
extraction,3
vs,3
f,3
combined,3
genechip,3
coding,3
briefly,3
those,3
germinating,3
multiple,3
qiagen,3
reflect,3
related,3
light,3
hmcs,3
there,3
distributed,3
supporting,3
timepoint,3
mrna,3
highly,3
thus,3
positions,3
xls,3
according,3
phosphate,3
linkage,3
susceptible,3
log,3
underpinning,3
regulator,3
major,3
manner,3
recorded,3
without,3
dark,3
having,3
segments,3
level,3
doc,3
pathways,3
timing,3
ultimately,3
effects,3
mostly,3
host,3
effective,3
about,3
master,3
unigenes,3
segregating,3
positive,3
test,3
early,3
precursor,3
genetical,3
tested,3
together,3
remaining,3
latency,3
growth,3
relatively,3
caused,3
controlling,3
observation,3
onto,3
alleles,3
genomics,3
homologue,3
putative,3
patterns,3
syntenic,3
immediately,2
rostoks,2
pathogens,2
period,2
very,2
haustorial,2
images,2
units,2
venn,2
pathway,2
until,2
bias,2
humidity,2
binding,2
mixed,2
base,2
pb,2
avr,2
biotic,2
hydroperoxide,2
performing,2
blue,2
heat,2
minimum,2
higher,2
blumeria,2
quality,2
round,2
versa,2
unsequenced,2
attempts,2
bold,2
see,2
penetrated,2
genomic,2
importantly,2
lephgpx,2
regulators,2
limited,2
regulatory,2
polymorphism,2
like,2
whose,2
who,2
less,2
means,2
liquid,2
left,2
relative,2
allelic,2
alone,2
latter,2
recent,2
whether,2
whereas,2
linear,2
list,2
imported,2
maximizing,2
plants,2
red,2
materials,2
matrix,2
µg,2
accession,2
account,2
recommended,2
made,2
affect,2
lycopodium,2
lowess,2
placed,2
yielding,2
points,2
physically,2
phospholipid,2
adopted,2
labeling,2
altered,2
know,2
indicates,2
results,2
arabidopsis,2
walls,2
initiated,2
inhibitor,2
around,2
arrayexpress,2
poorly,2
ph,2
report,2
rinsed,2
assessed,2
peroxidase,2
increase,2
incompatible,2
associations,2
robust,2
asterisks,2
approximately,2
possibility,2
intensity,2
