Words,Words_Count
the,200
of,159
and,154
in,70
for,68
to,63
species,63
were,33
dna,30
samples,30
as,30
that,29
plant,28
barcode,27
was,27
distance,27
with,26
is,26
using,25
sequences,24
plants,23
from,23
barcodes,21
pcr,20
divergence,19
at,19
region,19
used,17
variation,16
rbcl,16
our,16
this,15
genus,15
efficiency,15
identification,15
matk,14
be,14
we,13
genetic,13
potential,13
by,13
all,13
its,12
taxa,12
have,12
medicinal,12
are,11
candidate,11
families,11
not,11
than,11
barcoding,11
between,11
study,11
level,11
amplification,11
primers,10
mb,10
each,10
closely,10
two,10
related,10
tests,10
al,9
universal,9
regions,9
one,9
most,9
first,9
et,9
their,8
theta,8
parameters,8
three,8
gaps,8
higher,8
genbank,8
gymnosperms,8
nearest,8
genera,8
ferns,8
method,8
other,8
average,8
rate,7
sequence,7
respectively,7
quality,7
methods,7
doc,7
including,7
wilcoxon,7
six,7
compared,7
according,7
has,7
pairs,7
high,7
should,7
table,7
however,7
demonstrated,7
highest,7
on,7
spacer,6
set,6
qv,6
mean,6
china,6
no,6
success,6
showed,6
studies,6
second,6
fungi,6
when,6
also,6
been,6
angiosperms,6
authentication,6
different,5
it,5
therefore,5
rank,5
algae,5
signed,5
previous,5
use,5
congeneric,5
within,5
minimum,5
intra,5
plastid,5
results,5
these,5
well,5
fungal,5
analysis,5
range,5
performed,5
distances,5
number,5
lowest,5
loci,5
mosses,5
or,5
usa,4
belonging,4
possesses,4
which,4
nuclear,4
selected,4
genomic,4
based,4
least,4
described,4
designed,4
group,4
significant,4
more,4
authenticating,4
suitable,4
thus,4
among,4
prime,4
lower,4
low,4
an,4
animals,4
taxonomic,4
herbal,4
could,4
genes,4
liverworts,4
four,4
represent,4
researchers,4
individuals,4
gap,4
marker,4
accession,4
co,4
levels,4
provided,4
across,4
traditional,4
total,4
structure,4
numbers,4
while,4
experiments,4
conserved,4
wide,4
genome,4
identifying,4
found,3
exhibited,3
even,3
phyla,3
diverse,3
forward,3
fragments,3
followed,3
ability,3
locus,3
standard,3
whereas,3
sequencing,3
pairwise,3
mitochondrial,3
although,3
without,3
adulterants,3
significantly,3
seven,3
figure,3
smallest,3
secondary,3
several,3
gene,3
less,3
products,3
calculated,3
divergences,3
reported,3
identify,3
technique,3
correctly,3
identity,3
pair,3
reverse,3
conspecific,3
tested,3
confirmed,3
testing,3
conditions,3
further,3
only,3
transcribed,3
trade,3
then,3
there,3
coalescent,3
blast,3
both,3
international,3
chinese,3
those,3
many,3
but,3
tif,3
representing,3
identified,3
such,3
order,3
powerful,3
