Words,Words_Count
of,157
the,137
and,105
in,93
to,77
mycolactone,66
by,60
was,58
with,53
from,53
were,49
lesions,39
for,34
at,29
human,28
positive,25
that,23
as,22
cells,19
tissue,19
asl,19
infected,17
negative,17
mu,17
lipid,16
lipids,16
skin,15
untreated,14
macrophages,14
cell,14
which,14
extracts,14
samples,13
using,13
this,13
on,13
culture,12
µg,12
antibiotic,12
µl,11
acetone,11
after,11
its,11
ulcer,11
is,11
observed,10
these,10
release,10
but,10
cytotoxicity,10
patient,10
or,10
not,10
patients,9
has,9
death,9
purified,9
be,9
disease,9
assays,9
detected,9
may,9
detection,9
soluble,9
treatment,9
tlc,9
controls,8
bands,8
m,8
treated,8
it,8
ulcerans,8
plates,8
helf,8
presence,8
been,8
weeks,8
mass,8
lesion,7
also,7
described,7
mycolactones,7
hours,7
significant,7
inhibit,7
murine,7
an,7
there,7
all,6
antibiotics,6
fibroblasts,6
shown,6
induction,6
study,6
obtained,6
buruli,6
ions,6
therapy,6
rf,6
extraction,6
nodule,6
we,6
used,6
no,6
extracted,6
polyketide,6
had,6
analysed,5
chromatography,5
assessed,5
characteristic,5
oedema,5
limit,5
two,5
those,5
necrosis,5
shows,5
ion,5
mtt,5
incubated,5
studies,5
under,5
during,5
molecule,5
different,5
are,5
previously,5
properties,5
clinical,5
cytopathicity,5
toxin,4
lps,4
well,4
dried,4
concentration,4
concentrations,4
into,4
inhibition,4
inflammatory,4
ethanol,4
have,4
harvested,4
guinea,4
further,4
significantly,4
cause,4
responses,4
side,4
band,4
can,4
our,4
rounding,4
other,4
spectrometry,4
analysis,4
briefly,4
performed,4
showed,4
oedematous,4
present,4
nitrogen,4
sigma,4
ms,4
modified,4
phase,4
ring,3
formazan,3
found,3
foetal,3
first,3
findings,3
role,3
virulence,3
uv,3
medium,3
fatty,3
response,3
serum,3
et,3
electrospray,3
effect,3
dye,3
solution,3
dissolved,3
within,3
dioxide,3
diagnosis,3
without,3
sample,3
healthy,3
given,3
organic,3
maintained,3
mitochondrial,3
necrotic,3
nodules,3
thin,3
observation,3
one,3
layer,3
lactone,3
type,3
only,3
them,3
determine,3
injection,3
respectively,3
inhibited,3
technique,3
ulcers,3
phenotype,3
university,3
however,3
plate,3
high,3
up,3
microtitration,3
streptomycin,3
stimulated,3
spiked,3
mm,3
ability,3
although,3
apoptosis,3
conditions,3
active,3
bacterial,3
biopsy,3
apoptotic,3
demonstrated,3
dehydrogenases,3
characteristics,3
consent,3
characterised,3
calf,3
between,3
core,3
chain,3
bromide,3
data,3
damage,3
daily,3
causes,3
cytotoxic,3
corresponding,3
could,3
caused,3
cytopathic,3
carbon,3
crystals,3
cultured,3
cultures,3
compared,3
al,3
acid,3
areas,3
classic,3
despite,3
centre,2
identified,2
clumps,2
central,2
