Words,Words_Count
the,351
of,202
in,109
epidemic,100
and,99
diversity,70
season,70
sequences,68
to,64
was,62
for,57
sequence,51
that,49
period,49
peak,49
were,45
influenza,45
each,44
by,39
early,39
dominant,35
from,34
amino,32
acid,31
we,30
seasons,28
proteins,27
number,27
protein,26
with,26
hamming,26
mean,26
than,25
periods,25
during,25
distance,22
samples,20
one,17
as,17
high,17
within,16
more,16
or,15
significantly,15
all,14
late,14
between,14
an,14
these,13
across,13
intraseasonal,13
low,13
differences,13
nucleotide,13
not,12
ha,12
distinct,12
over,12
which,12
observed,12
antigenic,12
this,12
be,11
drift,11
related,11
expected,11
when,10
mb,10
could,10
at,10
most,10
less,9
data,9
time,9
distributed,9
dominance,9
evolution,9
consistent,8
sampled,8
significant,8
our,8
single,8
other,8
chance,8
expansion,8
york,8
analysis,8
had,8
identical,8
trees,8
there,8
three,8
have,8
is,8
calculated,8
divided,7
diverse,7
distribution,7
multiple,7
supplemental,7
small,7
new,7
week,7
total,7
clonal,7
different,7
incidence,6
results,6
defined,6
frequency,6
state,6
increased,6
very,6
clades,6
if,6
phylogenetic,6
same,6
used,5
july,5
consistently,5
occurrence,5
rapid,5
hypothesis,5
na,5
doc,5
few,5
figure,5
proportion,5
evenly,5
tended,5
whether,5
determine,5
changes,5
dynamics,5
table,5
due,5
size,5
found,5
such,5
would,5
equal,4
are,4
observations,4
prevalence,4
information,4
outgroup,4
june,4
instances,4
into,4
occur,4
population,4
patterns,4
distances,4
internal,4
intervals,4
also,4
duration,4
phylogenies,4
investigated,4
on,4
virus,4
often,4
variability,4
green,4
two,4
contained,4
lasted,4
their,4
seasonal,4
blue,4
seen,4
test,4
several,4
showed,4
but,4
measured,4
simulated,4
closely,4
maximum,4
many,4
clade,4
still,4
lower,4
then,4
considered,4
red,4
labeled,4
sample,4
higher,4
degree,4
threshold,4
database,4
first,4
regions,4
before,4
no,4
events,3
followed,3
like,3
genomic,3
given,3
fairly,3
made,3
its,3
further,3
evolutionary,3
it,3
occurred,3
fraction,3
human,3
minimum,3
much,3
null,3
et,3
indicated,3
collected,3
rate,3
times,3
reduced,3
tif,3
relatively,3
removed,3
represented,3
revealed,3
sampling,3
beginning,3
them,3
set,3
tail,3
comparisons,3
compared,3
similar,3
coding,3
so,3
squares,3
changed,3
strain,3
strains,3
triangles,3
relative,3
alone,3
epidemics,3
pairwise,3
al,3
understanding,3
values,3
per,3
until,3
upper,3
dividing,3
using,3
value,3
suggested,2
suggesting,2
winter,2
while,2
length,2
year,2
subtype,2
infected,2
lie,2
supporting,2
under,2
wealth,2
temperate,2
viruses,2
those,2
last,2
larger,2
largely,2
isolate,2
large,2
studied,2
throughout,2
united,2
uniformly,2
uniform,2
studies,2
ours,2
limited,2
states,2
ranged,2
randomly,2
indicates,2
numbers,2
observation,2
proliferation,2
probability,2
prevalent,2
predicted,2
poisson,2
plotted,2
phylogeny,2
perhaps,2
pdf,2
pattern,2
particularly,2
pandemic,2
rapidly,2
np,2
rates,2
selection,2
standard,2
some,2
outside,2
median,2
met,2
method,2
might,2
seeded,2
ratio,2
search,2
model,2
models,2
respectively,2
mutation,2
rejected,2
ncbi,2
randomized,2
likely,2
decrease,2
complete,2
how,2
black,2
has,2
being,2
fewer,2
annually,2
any,2
been,2
flu,2
comprised,2
assigning,2
associated,2
change,2
avian,2
case,2
foreign,2
dna,2
genomes,2
asterisk,2
gap,2
driven,2
average,2
fully,2
dominated,2
fell,2
commonest,2
even,2
course,2
except,2
aligned,2
inclusive,2
event,2
especially,2
