Words,Words_Count
the,215
of,179
in,173
myosin,155
and,138
cells,92
iia,89
to,89
iib,85
spreading,84
cell,73
focal,58
contacts,48
during,44
with,43
were,42
lamellipodia,42
actin,39
that,38
ii,36
extension,34
are,32
for,32
by,31
motor,28
is,28
or,27
formation,26
these,25
from,23
roles,23
expression,23
membrane,21
was,20
expressing,20
on,20
but,20
results,19
matrix,19
not,17
proteins,17
migration,17
role,16
network,16
studies,16
both,16
margins,15
as,15
present,14
using,14
specific,14
lamellipodium,14
study,13
no,13
an,13
distinct,13
central,13
this,12
cellular,12
filaments,12
at,11
observed,11
protein,11
arcs,11
isoform,11
however,10
significant,10
have,10
adhesion,10
regulating,9
opposite,9
depletion,9
attachment,9
their,9
earlier,9
fibronectin,9
edge,9
also,9
has,8
reorganization,8
retrograde,8
further,8
endogenous,8
vector,8
used,8
understand,8
performed,8
assembly,8
regulation,8
isoforms,8
express,8
be,8
interaction,8
transient,8
involved,7
different,7
other,7
increase,7
analysis,7
impairment,7
spread,7
upon,7
driving,7
processes,6
coated,6
plasmid,6
reduction,6
contact,6
culture,6
purchased,6
nonmuscle,6
structures,6
transiently,6
assays,6
western,6
suggest,6
ca,6
cancer,6
essential,6
sirna,6
gfp,6
area,6
shown,6
number,5
only,5
blot,5
tissue,5
known,5
lacking,5
showed,5
believed,5
extending,5
fixed,5
flow,5
display,5
implicated,5
margin,5
depleted,5
antibodies,5
show,5
effects,5
collected,5
mediating,5
either,5
parallel,5
hela,5
breast,5
each,5
paxillin,5
growth,4
functions,4
inhibitors,4
part,4
hypothesis,4
forces,4
organisms,4
inhibition,4
extensions,4
described,4
filament,4
localizations,4
linked,4
due,4
line,4
mechanical,4
mechanism,4
establishment,4
light,4
exocytosis,4
could,4
leading,4
displaying,4
more,4
kinase,4
it,4
µm,4
critical,4
total,4
protrusion,4
after,4
support,4
contribute,4
surface,4
comparison,4
contractile,4
similar,4
reduced,4
chain,4
punctate,4
revealed,4
back,4
abundance,3
been,3
suggests,3
such,3
substantially,3
localization,3
substantial,3
average,3
exert,3
some,3
especially,3
corrected,3
loss,3
lysates,3
center,3
effect,3
separate,3
clearly,3
stained,3
appears,3
few,3
into,3
higher,3
hours,3
how,3
acid,3
active,3
human,3
actively,3
generated,3
which,3
activity,3
vinculin,3
iic,3
immunostaining,3
view,3
formed,3
although,3
form,3
amino,3
undergoing,3
initial,3
type,3
appearance,3
interestingly,3
domains,3
heavy,3
null,3
complex,3
connected,3
components,3
demonstrated,3
positive,3
migrating,3
organized,3
out,3
data,3
overall,3
directly,3
responsible,3
control,3
retraction,3
plates,3
process,3
mediate,3
min,3
recent,3
contrast,3
pharmacological,3
demonstrates,3
product,2
undergo,2
opposing,2
ubiquitously,2
insights,2
mechanisms,2
obtained,2
protrusive,2
presence,2
reagent,2
transfection,2
transfected,2
invasion,2
normal,2
involve,2
together,2
underlying,2
unexpected,2
predominantly,2
indicate,2
hour,2
zyxin,2
zone,2
pcr,2
work,2
plasma,2
pbs,2
play,2
overlapping,2
images,2
imaging,2
immunostained,2
impact,2
via,2
vectors,2
implying,2
usa,2
involvement,2
understood,2
increased,2
incubator,2
reagents,2
necessary,2
thus,2
many,2
located,2
long,2
significantly,2
microscope,2
louis,2
mhc,2
made,2
sigma,2
maintained,2
major,2
mammalian,2
respectively,2
regulated,2
medium,2
sequences,2
santa,2
san,2
rock,2
rlc,2
mediated,2
rfp,2
mature,2
md,2
reveals,2
localized,2
little,2
then,2
molecular,2
recovery,2
than,2
tension,2
lack,2
nascent,2
lamella,2
technologies,2
tail,2
surfaces,2
mountain,2
region,2
length,2
single,2
mo,2
levels,2
st,2
mlck,2
like,2
likely,2
limited,2
sites,2
sirnas,2
regulate,2
lines,2
perpendicular,2
above,2
cultured,2
amplified,2
elc,2
dapi,2
compared,2
competence,2
cytoplasm,2
another,2
complexes,2
american,2
fragment,2
followed,2
development,2
cruz,2
force,2
binds,2
chains,2
forming,2
bglii,2
arc,2
difference,2
fibers,2
cloned,2
experiments,2
expressed,2
evidence,2
collection,2
extracellular,2
establishing,2
collectively,2
attached,2
fak,2
colocalization,2
deregulation,2
fate,2
behavior,2
engaged,2
allowed,2
clontech,2
all,2
confers,2
gain,2
dr,2
does,2
directions,2
confirm,2
generate,2
conventional,2
adhesions,2
full,2
displayed,2
direction,2
domain,2
blebbistatin,2
gift,2
cones,2
diffuse,2
signaling,1
rockville,1
rockford,1
chromatin,1
carline,1
similarly,1
signal,1
carried,1
rna,1
similarity,1
case,1
cleveland,1
class,1
chemokine,1
carries,1
silencing,1
robust,1
ruled,1
chemicals,1
seeded,1
change,1
seen,1
seeding,1
set,1
setting,1
should,1
cervical,1
certain,1
secrete,1
rule,1
secondary,1
characteristic,1
caused,1
chemical,1
shows,1
saline,1
serum,1
cathy,1
head,1
reserve,1
reveal,1
conclusion,1
rearrangements,1
conditions,1
rates,1
raises,1
question,1
quantitative,1
punctuate,1
confined,1
provides,1
conflicting,1
considerable,1
consisting,1
proposed,1
promoting,1
promoter,1
promote,1
prominent,1
program,1
products,1
consists,1
constitutive,1
construct,1
probes,1
probe,1
primers,1
recapitulate,1
receptor,1
cmv,1
comprising,1
coding,1
retardation,1
resulted,1
result,1
response,1
cannot,1
rescues,1
rescued,1
rescue,1
requires,1
required,1
reporting,1
reported,1
combined,1
removed,1
relative,1
regulatory,1
commonly,1
compare,1
regulates,1
regions,1
completely,1
redundant,1
comprise,1
red,1
carboxyl,1
steering,1
called,1
slightly,1
unravel,1
unpublished,1
unorganized,1
university,1
along,1
alternative,1
amaxa,1
analyzed,1
under,1
anne,1
typically,1
two,1
turnover,1
tumor,1
transverse,1
transition,1
antibody,1
appear,1
transfections,1
approach,1
trafficking,1
towards,1
argues,1
arrow,1
assess,1
associate,1
tight,1
use,1
