Words,Words_Count
the,190
of,185
cells,153
and,138
in,129
cell,96
dp,85
by,84
to,80
were,63
tumor,52
clone,49
was,46
with,45
as,45
from,44
melanoma,37
that,36
for,33
this,32
not,28
we,26
lines,26
established,24
sp,21
lymphocytes,21
these,20
their,19
on,19
or,19
at,18
patients,18
cancer,18
autologous,17
been,17
shown,16
is,15
have,15
be,14
france,14
infiltrating,14
line,14
response,13
which,13
lymph,13
production,13
observed,13
cytokines,12
using,12
data,12
tumors,12
than,12
invaded,12
analysis,11
could,11
immunoproteasome,11
recognition,11
recognized,11
after,11
breast,11
reactivity,10
expressed,10
human,10
cytokine,10
all,10
normal,10
antigen,10
reported,10
melanomas,10
culture,10
analyzed,9
one,9
positive,9
an,9
pbmc,9
used,8
then,8
has,8
expression,8
population,8
against,8
it,8
study,8
among,8
associated,8
are,8
tested,7
described,7
also,7
healthy,7
produced,7
carcinomas,7
nodes,7
stimulation,7
derived,7
presence,7
function,7
polyclonal,7
obtained,7
gifts,7
populations,7
similar,7
blood,7
de,7
high,7
our,7
expressing,7
various,6
ubiquitous,6
medium,6
addition,6
node,6
significant,6
facs,6
responses,6
proliferation,6
single,6
til,6
well,6
two,6
studies,6
however,6
nkt,6
incubated,6
pbs,6
carcinoma,6
antigens,6
higher,6
standard,6
donors,5
about,5
previously,5
several,5
class,5
levels,5
minutes,5
express,5
plates,5
laboratory,5
did,5
nantes,5
ilnl,5
due,5
tcrαβ,5
epitopes,5
staining,5
hla,5
processed,5
but,5
vβ,5
more,5
tal,5
mabs,5
specific,5
washed,5
type,5
phenotype,5
secreting,5
renal,5
other,5
they,4
especially,4
most,4
tcr,4
cytotoxic,4
target,4
displayed,4
evaluated,4
epitope,4
subsets,4
moreover,4
expansion,4
control,4
specificity,4
different,4
strategies,4
cdna,4
such,4
umr,4
number,4
isolated,4
peripheral,4
profile,4
origin,4
c,4
mean,4
both,4
lytic,4
immune,4
metastasis,4
very,4
major,4
remains,4
including,4
m,4
vitro,4
increased,4
antibodies,4
lower,4
performed,4
self,4
transfection,4
patient,4
functional,4
flow,4
first,4
fractions,4
percentages,4
comparison,4
clones,4
activity,4
frequencies,4
showing,4
four,4
last,3
effector,3
potential,3
reagent,3
